gear,station,haul,time,depth,skate,species_code,depredation
HAL,203,107,9:29:26 AM,531,1,1,0
HAL,203,107,9:47:27 AM,0,1,1,0
HAL,203,107,9:47:28 AM,0,1,1,0
HAL,203,107,9:47:41 AM,0,1,1,0
HAL,203,107,9:47:43 AM,0,1,1,0
HAL,203,107,9:47:49 AM,0,1,1,0
HAL,203,107,9:47:51 AM,0,1,1,0
HAL,203,107,9:47:53 AM,0,1,1,0
HAL,203,107,9:47:58 AM,0,1,1,0
HAL,203,107,9:47:59 AM,0,1,1,0
HAL,203,107,9:48:09 AM,0,1,1,0
HAL,203,107,9:48:16 AM,0,1,1,0
HAL,203,107,9:48:19 AM,0,1,2,0
HAL,203,107,9:48:28 AM,0,1,2,0
HAL,203,107,9:48:30 AM,0,1,2,0
HAL,203,107,9:48:32 AM,0,1,2,0
HAL,203,107,9:48:37 AM,0,1,2,0
HAL,203,107,9:48:39 AM,0,1,2,0
HAL,203,107,9:48:42 AM,0,1,1,0
HAL,203,107,9:48:44 AM,0,1,1,0
HAL,203,107,9:48:46 AM,0,1,2,0
HAL,203,107,9:48:48 AM,0,1,2,0
HAL,203,107,9:48:50 AM,0,1,2,0
HAL,203,107,9:48:53 AM,0,2,1,0
HAL,203,107,9:49:19 AM,0,2,3,0
HAL,203,107,9:49:20 AM,0,2,3,0
HAL,203,107,9:49:23 AM,0,2,3,0
HAL,203,107,9:49:31 AM,0,2,3,0
HAL,203,107,9:49:32 AM,0,2,1,0
HAL,203,107,9:49:33 AM,0,2,3,0
HAL,203,107,9:49:34 AM,0,2,1,0
HAL,203,107,9:49:37 AM,0,2,1,0
HAL,203,107,9:49:39 AM,0,2,1,0
HAL,203,107,9:49:41 AM,0,2,5,0
HAL,203,107,9:49:43 AM,0,2,3,0
HAL,203,107,9:49:46 AM,0,2,3,0
HAL,203,107,9:49:47 AM,0,2,1,0
HAL,203,107,9:49:51 AM,0,2,3,0
HAL,203,107,9:49:53 AM,0,2,3,0
HAL,203,107,9:49:55 AM,0,2,1,0
HAL,203,107,9:49:58 AM,0,2,3,0
HAL,203,107,9:50:02 AM,0,2,3,0
HAL,203,107,9:50:04 AM,0,2,1,0
