gear,station,haul,stratum,species_code2,length,flag,pot_size
POT,201,98,4,5,F048,0,Large
POT,201,98,5,7,F065,0,Large
POT,201,98,5,1,M066,0,Large
POT,201,98,5,6,F048,0,Large
POT,201,98,5,7,F066,0,Large
POT,201,98,5,1,F055,1,Small
POT,201,98,5,1,M058,0,Small
POT,201,98,5,6,F059,0,Small
POT,201,98,5,7,F058,0,Small
POT,201,98,5,6,F046,0,Small
POT,201,98,5,1,F074,0,Small
POT,201,98,5,5,F064,0,Small
POT,201,98,5,6,F046,0,Small
POT,201,98,5,1,F067,0,Small
POT,201,98,5,6,F052,0,Small
POT,201,98,4,1,M056,0,Small
POT,201,98,4,1,M067,0,Small
POT,201,98,4,1,M066,0,Small
POT,201,98,4,6,F047,0,Small
POT,201,98,4,5,F055,0,Small
POT,201,98,4,1,F064,0,Small
POT,201,98,4,5,F059,0,Small
POT,201,98,4,1,F065,0,Small
POT,201,98,5,1,F064,0,Small
POT,201,98,5,6,F051,0,Small
POT,201,98,5,5,F058,0,Small
POT,201,98,5,5,F060,0,Small
POT,201,98,5,1,F069,0,Small
POT,201,98,5,1,F067,0,Small
POT,201,98,5,1,F063,0,Small
POT,201,98,5,1,M059,0,Small
POT,201,98,5,1,F065,0,Small
POT,201,98,5,1,F060,0,Small
POT,201,98,5,1,F064,0,Small
POT,201,98,5,1,F062,0,Small
POT,201,98,5,1,F065,0,Small
POT,201,98,5,1,F063,0,Small
POT,201,98,5,1,F067,0,Small
POT,201,98,5,1,F066,0,Small
POT,201,98,5,1,F071,0,Small
POT,201,98,5,1,M067,0,Small
POT,201,98,5,1,F064,0,Small
POT,201,98,5,1,F073,0,Small
POT,201,98,5,1,M065,0,Small
POT,201,98,5,6,F048,0,Small
POT,201,98,5,6,F050,0,Small
POT,201,98,5,1,M061,0,Small
POT,201,98,5,1,F064,0,Small
POT,201,98,5,1,M057,0,Small
POT,201,98,5,6,F049,0,Small
POT,201,98,5,1,F068,0,Small
POT,201,98,5,5,F057,0,Small
POT,201,98,5,1,M058,0,Small
POT,201,98,5,1,F067,0,Small
POT,201,98,5,6,F048,0,Small
POT,201,98,5,1,M054,0,Small
POT,201,98,5,1,M066,0,Small
POT,201,98,5,1,F066,0,Small
POT,201,98,5,1,F063,0,Small
POT,201,98,5,1,F058,0,Small
POT,201,98,5,1,M059,0,Small
POT,201,98,5,1,F057,0,Small
POT,201,98,5,1,F068,0,Small
POT,201,98,5,1,M060,0,Small
POT,201,98,5,1,F062,0,Small
POT,201,98,5,1,M064,0,Small
POT,201,98,5,1,M052,0,Small
POT,201,98,5,1,F065,0,Small
POT,201,98,5,1,M053,0,Small
POT,201,98,5,1,F056,0,Small
POT,201,98,5,1,F058,0,Small
POT,201,98,5,1,M060,0,Small
POT,201,98,5,1,F049,0,Small
POT,201,98,5,1,F069,0,Small
POT,201,98,5,1,M061,0,Small
POT,201,98,5,1,M065,0,Small
POT,201,98,5,1,F068,0,Small
POT,201,98,5,1,M053,0,Small
POT,201,98,5,1,F062,0,Small
POT,201,98,5,1,F062,0,Small
POT,201,98,5,1,M062,0,Small
POT,201,98,5,1,M062,0,Small
POT,201,98,5,1,M061,0,Small
POT,201,98,5,1,M055,0,Small
POT,201,98,5,1,F065,0,Small
POT,201,98,5,1,F058,0,Small
POT,201,98,5,1,M060,0,Small
POT,201,98,5,1,F063,0,Small
POT,201,98,5,1,F066,0,Small
POT,201,98,5,1,M050,0,Small
POT,201,98,5,1,F056,0,Small
POT,201,98,5,1,M063,0,Small
POT,201,98,5,1,M056,0,Small
POT,201,98,5,1,F064,0,Small
POT,201,98,5,1,F050,0,Small
POT,201,98,5,1,F067,0,Small
POT,201,98,5,1,M058,0,Small
POT,201,98,5,1,F058,0,Small
POT,201,98,5,1,M055,0,Small
POT,201,98,5,1,M062,0,Small
POT,201,98,5,1,M058,0,Small
POT,201,98,5,1,F058,0,Small
POT,201,98,5,1,F060,0,Small
POT,201,98,5,1,F052,0,Small
POT,201,98,5,1,M061,0,Small
POT,201,98,5,1,F065,0,Small
POT,201,98,5,1,M058,0,Small
POT,201,98,5,1,M065,0,Small
POT,201,98,5,1,M062,0,Small
POT,201,98,5,1,F058,0,Small
POT,201,98,5,1,F066,0,Small
POT,201,98,5,1,F057,0,Small
POT,201,98,5,1,M059,0,Small
POT,201,98,5,1,F062,0,Small
POT,201,98,5,1,F049,0,Small
POT,201,98,5,1,M059,0,Small
POT,201,98,5,1,M059,0,Small
POT,201,98,5,1,F064,0,Small
POT,201,98,5,1,M069,0,Small
POT,201,98,5,1,F055,0,Small
POT,201,98,5,1,F054,0,Small
POT,201,98,5,1,M057,0,Small
POT,201,98,5,1,M050,0,Small
POT,201,98,5,1,M050,0,Small
POT,201,98,5,1,F049,0,Small
POT,201,98,5,1,M057,0,Small
POT,201,98,5,1,F061,0,Small
POT,201,98,5,1,M059,0,Small
POT,201,98,5,1,M062,0,Small
POT,201,98,5,1,M063,0,Small
POT,201,98,5,1,M061,0,Small
POT,201,98,5,1,F059,0,Small
POT,201,98,5,1,F068,0,Small
POT,201,98,5,1,F057,0,Small
POT,201,98,5,1,M059,0,Small
POT,201,98,5,1,M052,0,Small
POT,201,98,5,1,F055,0,Small
POT,201,98,5,1,M058,0,Small
POT,201,98,5,1,M059,0,Small
POT,201,98,5,1,F063,0,Small
POT,201,98,5,1,F055,0,Small
POT,201,98,5,1,F057,0,Small
POT,201,98,5,1,F056,0,Small
POT,201,98,5,1,F061,0,Small
POT,201,98,5,1,F055,0,Small
POT,201,98,5,1,M050,0,Small
POT,201,98,5,1,F054,0,Small
POT,201,98,5,1,F056,0,Small
POT,201,98,5,1,F057,0,Small
POT,201,98,5,1,F058,0,Small
POT,201,98,5,1,M058,0,Small
POT,201,98,5,1,F052,0,Small
POT,201,98,5,1,F058,0,Small
POT,201,98,5,1,F055,0,Small
POT,201,98,5,1,F056,0,Small
POT,201,98,5,1,F058,0,Small
POT,201,98,5,1,M056,0,Small
POT,201,98,5,1,M055,0,Small
POT,201,98,5,1,M051,0,Small
POT,201,98,5,1,F061,0,Small
POT,201,98,5,1,F057,0,Small
POT,201,98,5,1,F064,0,Small
POT,201,98,5,1,F064,0,Small
POT,201,98,5,1,F050,0,Small
POT,201,98,5,1,F056,0,Small
POT,201,98,5,1,F061,0,Small
POT,201,98,5,1,F064,0,Small
POT,201,98,5,1,F067,0,Small
POT,201,98,5,1,M058,0,Small
POT,201,98,5,1,M056,0,Small
POT,201,98,5,1,M053,0,Small
POT,201,98,5,1,F049,0,Small
POT,201,98,5,1,M062,0,Small
POT,201,98,5,1,F064,0,Small
POT,201,98,5,1,M060,0,Small
POT,201,98,5,1,M059,0,Small
POT,201,98,5,1,F060,0,Small
POT,201,98,5,1,F064,0,Small
POT,201,98,5,1,F061,0,Small
POT,201,98,5,1,F068,0,Small
POT,201,98,5,1,M046,0,Small
POT,201,98,5,1,M048,0,Small
POT,201,98,5,1,M051,0,Small
POT,201,98,5,1,F054,0,Small
POT,201,98,5,1,M065,0,Small
POT,201,98,5,1,M057,0,Small
POT,201,98,5,1,F049,0,Small
POT,201,98,5,1,F060,0,Small
POT,201,98,5,1,F057,0,Small
POT,201,98,5,1,M053,0,Small
POT,201,98,5,1,M047,0,Small
POT,201,98,5,1,F055,0,Small
POT,201,98,5,1,F057,0,Small
POT,201,98,5,1,M064,0,Small
POT,201,98,5,1,F056,0,Small
POT,201,98,5,1,F054,0,Small
POT,201,98,5,1,F065,0,Small
POT,201,98,5,1,F055,0,Small
POT,201,98,5,1,F067,0,Small
