Haul ID,Line,Stratum,Species,Length,Flag
8f44d6f0-656a-493c-b636-77c06ee21484,1,6,1,F069,0,
8f44d6f0-656a-493c-b636-77c06ee21484,2,6,1,M061,0,
8f44d6f0-656a-493c-b636-77c06ee21484,3,6,1,F061,0,
8f44d6f0-656a-493c-b636-77c06ee21484,4,6,1,F066,0,
8f44d6f0-656a-493c-b636-77c06ee21484,5,6,1,M062,0,
8f44d6f0-656a-493c-b636-77c06ee21484,6,6,1,F068,0,
8f44d6f0-656a-493c-b636-77c06ee21484,7,6,1,F075,0,
8f44d6f0-656a-493c-b636-77c06ee21484,8,6,1,F071,0,
8f44d6f0-656a-493c-b636-77c06ee21484,9,6,1,F067,0,
8f44d6f0-656a-493c-b636-77c06ee21484,10,6,1,M056,0,
8f44d6f0-656a-493c-b636-77c06ee21484,11,6,1,F056,0,
8f44d6f0-656a-493c-b636-77c06ee21484,12,6,1,F066,0,
8f44d6f0-656a-493c-b636-77c06ee21484,13,6,1,F064,0,
8f44d6f0-656a-493c-b636-77c06ee21484,14,6,1,M060,0,
8f44d6f0-656a-493c-b636-77c06ee21484,15,6,1,M058,0,
8f44d6f0-656a-493c-b636-77c06ee21484,16,6,1,M058,0,
8f44d6f0-656a-493c-b636-77c06ee21484,17,6,1,M063,0,
8f44d6f0-656a-493c-b636-77c06ee21484,18,6,1,M077,0,
8f44d6f0-656a-493c-b636-77c06ee21484,19,6,1,F067,0,
8f44d6f0-656a-493c-b636-77c06ee21484,20,6,1,M061,0,
8f44d6f0-656a-493c-b636-77c06ee21484,21,6,1,F078,0,
8f44d6f0-656a-493c-b636-77c06ee21484,22,6,1,F062,0,
8f44d6f0-656a-493c-b636-77c06ee21484,23,6,1,F077,0,
8f44d6f0-656a-493c-b636-77c06ee21484,24,6,1,F061,0,
8f44d6f0-656a-493c-b636-77c06ee21484,25,6,1,F066,0,
8f44d6f0-656a-493c-b636-77c06ee21484,26,6,1,F067,0,
8f44d6f0-656a-493c-b636-77c06ee21484,27,6,1,F064,0,
8f44d6f0-656a-493c-b636-77c06ee21484,28,6,1,M051,0,
8f44d6f0-656a-493c-b636-77c06ee21484,29,6,1,F068,0,
8f44d6f0-656a-493c-b636-77c06ee21484,30,6,1,M062,0,
8f44d6f0-656a-493c-b636-77c06ee21484,31,6,1,M064,0,
8f44d6f0-656a-493c-b636-77c06ee21484,32,6,1,M058,0,
8f44d6f0-656a-493c-b636-77c06ee21484,33,6,1,F066,0,
8f44d6f0-656a-493c-b636-77c06ee21484,34,6,1,M056,0,
8f44d6f0-656a-493c-b636-77c06ee21484,35,6,1,M063,0,
8f44d6f0-656a-493c-b636-77c06ee21484,36,6,1,M055,0,
8f44d6f0-656a-493c-b636-77c06ee21484,37,6,1,M063,0,
8f44d6f0-656a-493c-b636-77c06ee21484,38,6,1,M064,0,
8f44d6f0-656a-493c-b636-77c06ee21484,39,6,1,M058,0,
8f44d6f0-656a-493c-b636-77c06ee21484,40,6,1,M054,0,
8f44d6f0-656a-493c-b636-77c06ee21484,41,6,1,M062,0,
8f44d6f0-656a-493c-b636-77c06ee21484,42,6,1,M061,0,
8f44d6f0-656a-493c-b636-77c06ee21484,43,6,1,M063,0,
8f44d6f0-656a-493c-b636-77c06ee21484,44,6,1,M064,0,
8f44d6f0-656a-493c-b636-77c06ee21484,45,6,1,F070,0,
8f44d6f0-656a-493c-b636-77c06ee21484,46,6,1,M058,0,
8f44d6f0-656a-493c-b636-77c06ee21484,47,6,1,M053,0,
8f44d6f0-656a-493c-b636-77c06ee21484,48,6,1,M060,0,
8f44d6f0-656a-493c-b636-77c06ee21484,49,6,1,M061,0,
8f44d6f0-656a-493c-b636-77c06ee21484,50,6,1,M075,0,
8f44d6f0-656a-493c-b636-77c06ee21484,51,6,1,M058,0,
8f44d6f0-656a-493c-b636-77c06ee21484,52,6,1,F068,0,
8f44d6f0-656a-493c-b636-77c06ee21484,53,6,1,F071,0,
8f44d6f0-656a-493c-b636-77c06ee21484,54,6,1,F069,0,
8f44d6f0-656a-493c-b636-77c06ee21484,55,6,1,F051,0,
8f44d6f0-656a-493c-b636-77c06ee21484,56,6,1,F059,0,
8f44d6f0-656a-493c-b636-77c06ee21484,57,6,1,M057,0,
8f44d6f0-656a-493c-b636-77c06ee21484,58,6,1,F070,0,
8f44d6f0-656a-493c-b636-77c06ee21484,59,6,1,F073,0,
8f44d6f0-656a-493c-b636-77c06ee21484,60,6,1,M047,0,
8f44d6f0-656a-493c-b636-77c06ee21484,61,6,1,F069,0,
8f44d6f0-656a-493c-b636-77c06ee21484,62,6,1,M058,0,
8f44d6f0-656a-493c-b636-77c06ee21484,63,6,1,M069,0,
8f44d6f0-656a-493c-b636-77c06ee21484,64,6,1,F065,0,
8f44d6f0-656a-493c-b636-77c06ee21484,65,6,1,F061,0,
8f44d6f0-656a-493c-b636-77c06ee21484,66,6,1,M068,0,
8f44d6f0-656a-493c-b636-77c06ee21484,67,6,1,M062,0,
8f44d6f0-656a-493c-b636-77c06ee21484,68,6,1,M060,0,
8f44d6f0-656a-493c-b636-77c06ee21484,69,6,1,M058,0,
8f44d6f0-656a-493c-b636-77c06ee21484,70,6,1,M062,0,
8f44d6f0-656a-493c-b636-77c06ee21484,71,6,1,M057,0,
8f44d6f0-656a-493c-b636-77c06ee21484,72,6,1,F072,0,
8f44d6f0-656a-493c-b636-77c06ee21484,73,6,1,M061,0,
8f44d6f0-656a-493c-b636-77c06ee21484,74,6,1,F072,0,
8f44d6f0-656a-493c-b636-77c06ee21484,75,6,1,F072,0,
8f44d6f0-656a-493c-b636-77c06ee21484,76,6,1,F061,0,
8f44d6f0-656a-493c-b636-77c06ee21484,77,6,1,M058,0,
8f44d6f0-656a-493c-b636-77c06ee21484,78,6,1,M056,0,
8f44d6f0-656a-493c-b636-77c06ee21484,79,6,1,M060,0,
8f44d6f0-656a-493c-b636-77c06ee21484,80,6,1,M064,0,
8f44d6f0-656a-493c-b636-77c06ee21484,81,6,1,F065,0,
8f44d6f0-656a-493c-b636-77c06ee21484,82,6,1,F058,0,
8f44d6f0-656a-493c-b636-77c06ee21484,83,6,1,M059,0,
8f44d6f0-656a-493c-b636-77c06ee21484,84,6,1,M065,0,
8f44d6f0-656a-493c-b636-77c06ee21484,85,6,1,F049,0,
8f44d6f0-656a-493c-b636-77c06ee21484,86,6,1,M056,0,
8f44d6f0-656a-493c-b636-77c06ee21484,87,6,1,M061,0,
8f44d6f0-656a-493c-b636-77c06ee21484,88,6,1,M058,0,
8f44d6f0-656a-493c-b636-77c06ee21484,89,6,1,M056,0,
8f44d6f0-656a-493c-b636-77c06ee21484,90,6,1,F068,0,
8f44d6f0-656a-493c-b636-77c06ee21484,91,6,1,F069,0,
8f44d6f0-656a-493c-b636-77c06ee21484,92,6,1,M054,0,
8f44d6f0-656a-493c-b636-77c06ee21484,93,6,1,M062,0,
8f44d6f0-656a-493c-b636-77c06ee21484,94,6,1,F062,0,
8f44d6f0-656a-493c-b636-77c06ee21484,95,6,1,F063,0,
8f44d6f0-656a-493c-b636-77c06ee21484,96,6,1,M061,0,
8f44d6f0-656a-493c-b636-77c06ee21484,97,6,1,F066,0,
8f44d6f0-656a-493c-b636-77c06ee21484,98,6,1,M058,0,
8f44d6f0-656a-493c-b636-77c06ee21484,99,6,1,F065,0,
8f44d6f0-656a-493c-b636-77c06ee21484,100,6,1,M062,0,
8f44d6f0-656a-493c-b636-77c06ee21484,101,6,1,M063,0,
8f44d6f0-656a-493c-b636-77c06ee21484,102,6,1,M052,0,
8f44d6f0-656a-493c-b636-77c06ee21484,103,6,1,M059,0,
8f44d6f0-656a-493c-b636-77c06ee21484,104,6,1,M060,0,
8f44d6f0-656a-493c-b636-77c06ee21484,105,6,1,M063,0,
8f44d6f0-656a-493c-b636-77c06ee21484,106,6,1,M061,0,
8f44d6f0-656a-493c-b636-77c06ee21484,107,6,1,M057,0,
8f44d6f0-656a-493c-b636-77c06ee21484,108,6,1,M056,0,
8f44d6f0-656a-493c-b636-77c06ee21484,109,6,1,M062,0,
8f44d6f0-656a-493c-b636-77c06ee21484,110,6,1,F066,0,
8f44d6f0-656a-493c-b636-77c06ee21484,111,6,1,M058,0,
8f44d6f0-656a-493c-b636-77c06ee21484,112,6,1,M057,0,
8f44d6f0-656a-493c-b636-77c06ee21484,113,6,1,F065,0,
8f44d6f0-656a-493c-b636-77c06ee21484,114,6,1,M061,0,
8f44d6f0-656a-493c-b636-77c06ee21484,115,6,1,M049,0,
8f44d6f0-656a-493c-b636-77c06ee21484,116,6,1,M054,0,
8f44d6f0-656a-493c-b636-77c06ee21484,117,6,1,M061,0,
8f44d6f0-656a-493c-b636-77c06ee21484,118,6,1,F052,0,
8f44d6f0-656a-493c-b636-77c06ee21484,119,6,1,F068,0,
8f44d6f0-656a-493c-b636-77c06ee21484,120,6,1,M056,0,
8f44d6f0-656a-493c-b636-77c06ee21484,121,6,1,M050,0,
8f44d6f0-656a-493c-b636-77c06ee21484,122,6,1,F068,0,
8f44d6f0-656a-493c-b636-77c06ee21484,123,6,1,M059,0,
8f44d6f0-656a-493c-b636-77c06ee21484,124,6,1,M058,0,
8f44d6f0-656a-493c-b636-77c06ee21484,125,6,1,M057,0,
8f44d6f0-656a-493c-b636-77c06ee21484,126,6,1,M063,0,
8f44d6f0-656a-493c-b636-77c06ee21484,127,6,1,M079,0,
8f44d6f0-656a-493c-b636-77c06ee21484,128,6,1,F070,0,
8f44d6f0-656a-493c-b636-77c06ee21484,129,6,1,F063,0,
8f44d6f0-656a-493c-b636-77c06ee21484,130,6,1,M060,0,
8f44d6f0-656a-493c-b636-77c06ee21484,131,6,1,M060,0,
8f44d6f0-656a-493c-b636-77c06ee21484,132,6,1,M059,0,
8f44d6f0-656a-493c-b636-77c06ee21484,133,6,1,M060,0,
8f44d6f0-656a-493c-b636-77c06ee21484,134,6,1,M059,0,
8f44d6f0-656a-493c-b636-77c06ee21484,135,6,1,M048,0,
8f44d6f0-656a-493c-b636-77c06ee21484,136,6,1,M066,0,
8f44d6f0-656a-493c-b636-77c06ee21484,137,6,1,M065,0,
8f44d6f0-656a-493c-b636-77c06ee21484,138,6,1,M057,0,
8f44d6f0-656a-493c-b636-77c06ee21484,139,6,1,F049,0,
8f44d6f0-656a-493c-b636-77c06ee21484,140,6,1,M060,0,
8f44d6f0-656a-493c-b636-77c06ee21484,141,6,1,F069,0,
8f44d6f0-656a-493c-b636-77c06ee21484,142,6,1,M058,0,
8f44d6f0-656a-493c-b636-77c06ee21484,143,6,1,M058,0,
8f44d6f0-656a-493c-b636-77c06ee21484,144,6,1,M065,0,
8f44d6f0-656a-493c-b636-77c06ee21484,145,6,1,M059,0,
8f44d6f0-656a-493c-b636-77c06ee21484,146,6,1,M064,0,
8f44d6f0-656a-493c-b636-77c06ee21484,147,6,1,M056,0,
8f44d6f0-656a-493c-b636-77c06ee21484,148,6,12,M043,0,
8f44d6f0-656a-493c-b636-77c06ee21484,149,6,1,F060,0,
8f44d6f0-656a-493c-b636-77c06ee21484,150,6,1,M072,0,
8f44d6f0-656a-493c-b636-77c06ee21484,151,6,1,F066,0,
8f44d6f0-656a-493c-b636-77c06ee21484,152,6,1,M054,0,
8f44d6f0-656a-493c-b636-77c06ee21484,153,6,1,F069,0,
8f44d6f0-656a-493c-b636-77c06ee21484,154,6,1,M047,0,
8f44d6f0-656a-493c-b636-77c06ee21484,155,6,1,F060,0,
8f44d6f0-656a-493c-b636-77c06ee21484,156,6,1,M068,0,
8f44d6f0-656a-493c-b636-77c06ee21484,157,6,1,M064,0,
8f44d6f0-656a-493c-b636-77c06ee21484,158,6,1,M071,0,
8f44d6f0-656a-493c-b636-77c06ee21484,159,6,1,M063,0,
8f44d6f0-656a-493c-b636-77c06ee21484,160,6,1,F068,0,
8f44d6f0-656a-493c-b636-77c06ee21484,161,6,1,M060,0,
8f44d6f0-656a-493c-b636-77c06ee21484,162,6,1,M056,0,
8f44d6f0-656a-493c-b636-77c06ee21484,163,6,1,F069,0,
8f44d6f0-656a-493c-b636-77c06ee21484,164,6,1,M069,0,
8f44d6f0-656a-493c-b636-77c06ee21484,165,6,1,M066,0,
