species_code,species
1,Baited Hook
2,Ineffective Hook
3,Sablefish
5,Giant Grenadier
6,Pacific Halibut
7,Arrowtooth Flounder
8,Rougheye/Shortraker Rockfish
9,Shortspine Thornyhead
19,Big Skate
22,Brittle Starfish
29,Dover Sole
66,Tanneri Tanner Crab
72,Sea Whip
96,Lips or Jaws - Whale Depredation
177,Sea Cucumber
172,Alaskan False Jingle
87,Blackfooted Albatross
181,Unsorted sharks
182,Shark egg case
61,Spiny Dogfish
16,Basketstarfish Unidentified
43,Pacific Pomfret
94,Angulatus Tanner Crab
158,Jellyfish Unidentified
169,Snail Unidentified
28,Crinoid Unidentified
71,Sea Anemone Unidentified
13,Longnose Skate
26,Coho Salmon
77,Aleutian/Bering/Alaska Skate Complex
64,Starfish Unidentified
