"","skate_id","station","gear","skate","n_sablefish","pot_size","gear2","haul","depth","interp_depth"
"1","Exp_Set1_97_85","Exp_Set1","HAL",85,4,NA,"Hook-and-line",97,425,449
"2","Exp_Set1_97_86","Exp_Set1","HAL",86,1,NA,"Hook-and-line",97,425,446
"3","Exp_Set1_97_87","Exp_Set1","HAL",87,7,NA,"Hook-and-line",97,425,443
"4","Exp_Set1_97_88","Exp_Set1","HAL",88,4,NA,"Hook-and-line",97,425,440
"5","Exp_Set1_97_89","Exp_Set1","HAL",89,3,NA,"Hook-and-line",97,425,437
"6","Exp_Set1_97_90","Exp_Set1","HAL",90,5,NA,"Hook-and-line",97,425,434
"7","Exp_Set1_97_90","Exp_Set1","HAL",90,5,NA,"Hook-and-line",97,425,433.5
"8","Exp_Set1_97_90","Exp_Set1","HAL",90,5,NA,"Hook-and-line",97,425,433
"9","Exp_Set1_97_79","Exp_Set1","HAL",79,5,NA,"Hook-and-line",97,450,474.833333333333
"10","Exp_Set1_97_80","Exp_Set1","HAL",80,12,NA,"Hook-and-line",97,450,471
"11","Exp_Set1_97_80","Exp_Set1","HAL",80,12,NA,"Hook-and-line",97,450,467.833333333333
"12","Exp_Set1_97_81","Exp_Set1","HAL",81,12,NA,"Hook-and-line",97,450,464.666666666667
"13","Exp_Set1_97_82","Exp_Set1","HAL",82,6,NA,"Hook-and-line",97,450,461.5
"14","Exp_Set1_97_83","Exp_Set1","HAL",83,6,NA,"Hook-and-line",97,450,458.333333333333
"15","Exp_Set1_97_84","Exp_Set1","HAL",84,2,NA,"Hook-and-line",97,450,455.166666666667
"16","Exp_Set1_97_85","Exp_Set1","HAL",85,4,NA,"Hook-and-line",97,450,452
"17","Exp_Set1_97_59","Exp_Set1","HAL",59,11,NA,"Hook-and-line",97,475,499.166666666667
"18","Exp_Set1_97_60","Exp_Set1","HAL",60,10,NA,"Hook-and-line",97,475,498
"19","Exp_Set1_97_60","Exp_Set1","HAL",60,10,NA,"Hook-and-line",97,475,498.666666666667
"20","Exp_Set1_97_61","Exp_Set1","HAL",61,13,NA,"Hook-and-line",97,475,499.333333333333
"21","Exp_Set1_97_65","Exp_Set1","HAL",65,9,NA,"Hook-and-line",97,475,498.666666666667
"22","Exp_Set1_97_66","Exp_Set1","HAL",66,12,NA,"Hook-and-line",97,475,495.333333333333
"23","Exp_Set1_97_67","Exp_Set1","HAL",67,14,NA,"Hook-and-line",97,475,492
"24","Exp_Set1_97_68","Exp_Set1","HAL",68,12,NA,"Hook-and-line",97,475,488.666666666667
"25","Exp_Set1_97_69","Exp_Set1","HAL",69,10,NA,"Hook-and-line",97,475,485.333333333333
"26","Exp_Set1_97_70","Exp_Set1","HAL",70,2,NA,"Hook-and-line",97,475,482
"27","Exp_Set1_97_70","Exp_Set1","HAL",70,2,NA,"Hook-and-line",97,475,484
"28","Exp_Set1_97_71","Exp_Set1","HAL",71,8,NA,"Hook-and-line",97,475,486
"29","Exp_Set1_97_72","Exp_Set1","HAL",72,5,NA,"Hook-and-line",97,475,488
"30","Exp_Set1_97_73","Exp_Set1","HAL",73,11,NA,"Hook-and-line",97,475,490
"31","Exp_Set1_97_74","Exp_Set1","HAL",74,7,NA,"Hook-and-line",97,475,492
"32","Exp_Set1_97_75","Exp_Set1","HAL",75,16,NA,"Hook-and-line",97,475,494
"33","Exp_Set1_97_75","Exp_Set1","HAL",75,16,NA,"Hook-and-line",97,475,490.166666666667
"34","Exp_Set1_97_76","Exp_Set1","HAL",76,6,NA,"Hook-and-line",97,475,486.333333333333
"35","Exp_Set1_97_77","Exp_Set1","HAL",77,14,NA,"Hook-and-line",97,475,482.5
"36","Exp_Set1_97_78","Exp_Set1","HAL",78,16,NA,"Hook-and-line",97,475,478.666666666667
"37","Exp_Set1_97_48","Exp_Set1","HAL",48,17,NA,"Hook-and-line",97,500,521.666666666667
"38","Exp_Set1_97_49","Exp_Set1","HAL",49,21,NA,"Hook-and-line",97,500,514.833333333333
"39","Exp_Set1_97_50","Exp_Set1","HAL",50,21,NA,"Hook-and-line",97,500,508
"40","Exp_Set1_97_50","Exp_Set1","HAL",50,21,NA,"Hook-and-line",97,500,507.5
"41","Exp_Set1_97_51","Exp_Set1","HAL",51,9,NA,"Hook-and-line",97,500,507
"42","Exp_Set1_97_52","Exp_Set1","HAL",52,21,NA,"Hook-and-line",97,500,506.5
"43","Exp_Set1_97_53","Exp_Set1","HAL",53,14,NA,"Hook-and-line",97,500,506
"44","Exp_Set1_97_54","Exp_Set1","HAL",54,8,NA,"Hook-and-line",97,500,505.5
