station,gear,skate_or_pot_unique_id,skate_or_pot_number,n_sablefish,detailed_gear
Exp_Set1,HAL,Exp_Set1_97_1,1,14,Hook-and-line
Exp_Set1,HAL,Exp_Set1_97_10,10,16,Hook-and-line
Exp_Set1,HAL,Exp_Set1_97_11,11,19,Hook-and-line
Exp_Set1,HAL,Exp_Set1_97_12,12,26,Hook-and-line
Exp_Set1,HAL,Exp_Set1_97_13,13,24,Hook-and-line
Exp_Set1,HAL,Exp_Set1_97_14,14,19,Hook-and-line
Exp_Set1,HAL,Exp_Set1_97_15,15,22,Hook-and-line
Exp_Set1,HAL,Exp_Set1_97_16,16,13,Hook-and-line
Exp_Set1,HAL,Exp_Set1_97_17,17,16,Hook-and-line
Exp_Set1,HAL,Exp_Set1_97_18,18,14,Hook-and-line
Exp_Set1,HAL,Exp_Set1_97_19,19,11,Hook-and-line
Exp_Set1,HAL,Exp_Set1_97_2,2,9,Hook-and-line
Exp_Set1,HAL,Exp_Set1_97_20,20,14,Hook-and-line
Exp_Set1,HAL,Exp_Set1_97_21,21,7,Hook-and-line
Exp_Set1,HAL,Exp_Set1_97_22,22,18,Hook-and-line
Exp_Set1,HAL,Exp_Set1_97_23,23,21,Hook-and-line
Exp_Set1,HAL,Exp_Set1_97_24,24,15,Hook-and-line
Exp_Set1,HAL,Exp_Set1_97_25,25,14,Hook-and-line
Exp_Set1,HAL,Exp_Set1_97_26,26,15,Hook-and-line
Exp_Set1,HAL,Exp_Set1_97_27,27,5,Hook-and-line
Exp_Set1,HAL,Exp_Set1_97_28,28,8,Hook-and-line
Exp_Set1,HAL,Exp_Set1_97_29,29,16,Hook-and-line
Exp_Set1,HAL,Exp_Set1_97_3,3,5,Hook-and-line
Exp_Set1,HAL,Exp_Set1_97_30,30,19,Hook-and-line
Exp_Set1,HAL,Exp_Set1_97_31,31,13,Hook-and-line
Exp_Set1,HAL,Exp_Set1_97_32,32,21,Hook-and-line
Exp_Set1,HAL,Exp_Set1_97_33,33,16,Hook-and-line
Exp_Set1,HAL,Exp_Set1_97_34,34,18,Hook-and-line
Exp_Set1,HAL,Exp_Set1_97_35,35,24,Hook-and-line
Exp_Set1,HAL,Exp_Set1_97_36,36,17,Hook-and-line
Exp_Set1,HAL,Exp_Set1_97_37,37,26,Hook-and-line
Exp_Set1,HAL,Exp_Set1_97_38,38,23,Hook-and-line
Exp_Set1,HAL,Exp_Set1_97_39,39,19,Hook-and-line
Exp_Set1,HAL,Exp_Set1_97_4,4,6,Hook-and-line
Exp_Set1,HAL,Exp_Set1_97_40,40,19,Hook-and-line
Exp_Set1,HAL,Exp_Set1_97_41,41,22,Hook-and-line
Exp_Set1,HAL,Exp_Set1_97_42,42,18,Hook-and-line
Exp_Set1,HAL,Exp_Set1_97_43,43,25,Hook-and-line
