Station,Species,Hook-and-line (# lengths / # catch),Slinky pots (# lengths / # catch)
Exp_Set1,Sablefish,"1,174 / 1,267",490 / 496
Exp_Set1,Giant Grenadier,105 / 129,6 / 6
Exp_Set1,Shortspine Thornyhead,71 / 78,0 / 0
Exp_Set1,Shortraker Rockfish,52 / 52,3 / 3
Exp_Set1,Rougheye Rockfish,8 / 8,11 / 11
Exp_Set1,Arrowtooth Flounder,3 / 3,7 / 7
Exp_Set1,Brittle Starfish,0 / 3,0 / 0
Exp_Set1,Lips or Jaws - Whale Depredation,0 / 1,0 / 0
Exp_Set1,Sea Cucumber,0 / 0,0 / 2
Exp_Set2,Sablefish,"1,185 / 1,396",802 / 811
Exp_Set2,Giant Grenadier,119 / 226,18 / 18
Exp_Set2,Shortspine Thornyhead,116 / 124,1 / 2
Exp_Set2,Rougheye Rockfish,5 / 5,0 / 0
Exp_Set2,Arrowtooth Flounder,0 / 0,2 / 2
Exp_Set2,Brittle Starfish,0 / 2,0 / 0
Exp_Set2,Lips or Jaws - Whale Depredation,0 / 3,0 / 0
Exp_Set2,Sea Whip,0 / 5,0 / 0
Exp_Set2,Shortraker Rockfish,0 / 0,0 / 0
Exp_Set2,Tanneri Tanner Crab,0 / 0,0 / 1
Exp_Set3,Sablefish,"1,306 / 1,628",937 / 942
Exp_Set3,Giant Grenadier,107 / 184,17 / 17
Exp_Set3,Shortspine Thornyhead,48 / 57,2 / 2
Exp_Set3,Arrowtooth Flounder,2 / 2,2 / 2
Exp_Set3,Rougheye Rockfish,2 / 2,0 / 0
Exp_Set3,Brittle Starfish,0 / 7,0 / 0
Exp_Set3,Lips or Jaws - Whale Depredation,0 / 1,0 / 0
Exp_Set3,Sea Whip,0 / 1,0 / 0
Exp_Set3,Shortraker Rockfish,0 / 0,0 / 0
Exp_Set3,Dover Sole,0 / 0,0 / 1
