skate_id,station,gear,skate,n_sablefish,haul,depth,interp_depth
Day 1_103_47,Day 1,Hooks,47,13,103,575,599.5
Day 1_103_48,Day 1,Hooks,48,17,103,575,599
Day 1_103_49,Day 1,Hooks,49,24,103,575,598.5
Day 1_103_50,Day 1,Hooks,50,13,103,575,598
Day 1_103_50,Day 1,Hooks,50,13,103,575,597.3333333333334
Day 1_103_51,Day 1,Hooks,51,17,103,575,596.6666666666666
Day 1_103_52,Day 1,Hooks,52,13,103,575,596
Day 1_103_52,Day 1,Hooks,52,13,103,575,595.25
Day 1_103_53,Day 1,Hooks,53,12,103,575,594.5
Day 1_103_54,Day 1,Hooks,54,17,103,575,593.75
Day 1_103_55,Day 1,Hooks,55,15,103,575,593
Day 1_103_55,Day 1,Hooks,55,15,103,575,592
Day 1_103_56,Day 1,Hooks,56,17,103,575,591
Day 1_103_57,Day 1,Hooks,57,19,103,575,590
Day 1_103_58,Day 1,Hooks,58,20,103,575,589
Day 1_103_59,Day 1,Hooks,59,18,103,575,588
Day 1_103_60,Day 1,Hooks,60,22,103,575,587
Day 1_103_60,Day 1,Hooks,60,22,103,575,586.3333333333334
Day 1_103_61,Day 1,Hooks,61,18,103,575,585.6666666666666
Day 1_103_62,Day 1,Hooks,62,18,103,575,585
Day 1_103_63,Day 1,Hooks,63,28,103,575,584.3333333333334
Day 1_103_64,Day 1,Hooks,64,18,103,575,583.6666666666666
Day 1_103_65,Day 1,Hooks,65,16,103,575,583
Day 1_103_65,Day 1,Hooks,65,16,103,575,582.8333333333334
Day 1_103_66,Day 1,Hooks,66,17,103,575,582.6666666666666
Day 1_103_67,Day 1,Hooks,67,21,103,575,582.5
Day 1_103_68,Day 1,Hooks,68,8,103,575,582.3333333333334
Day 1_103_69,Day 1,Hooks,69,12,103,575,582.1666666666666
Day 1_103_70,Day 1,Hooks,70,20,103,575,582
Day 1_103_70,Day 1,Hooks,70,20,103,575,581.6666666666666
Day 1_103_71,Day 1,Hooks,71,17,103,575,581.3333333333334
Day 1_103_72,Day 1,Hooks,72,14,103,575,581
Day 1_103_73,Day 1,Hooks,73,15,103,575,580.6666666666666
Day 1_103_74,Day 1,Hooks,74,12,103,575,580.3333333333334
Day 1_103_75,Day 1,Hooks,75,14,103,575,580
Day 1_103_75,Day 1,Hooks,75,14,103,575,579.6666666666666
Day 1_103_76,Day 1,Hooks,76,20,103,575,579.3333333333334
Day 1_103_77,Day 1,Hooks,77,18,103,575,579
Day 1_103_78,Day 1,Hooks,78,13,103,575,578.6666666666666
Day 1_103_79,Day 1,Hooks,79,18,103,575,578.3333333333334
Day 1_103_80,Day 1,Hooks,80,19,103,575,578
Day 1_103_80,Day 1,Hooks,80,19,103,575,578
Day 1_103_81,Day 1,Hooks,81,19,103,575,578
Day 1_103_82,Day 1,Hooks,82,21,103,575,578
Day 1_103_83,Day 1,Hooks,83,15,103,575,578
Day 1_103_84,Day 1,Hooks,84,15,103,575,578
Day 1_103_85,Day 1,Hooks,85,28,103,575,578
Day 1_103_85,Day 1,Hooks,85,28,103,575,578.6666666666666
Day 1_103_86,Day 1,Hooks,86,20,103,575,579.3333333333334
Day 1_103_87,Day 1,Hooks,87,18,103,575,580
Day 1_103_88,Day 1,Hooks,88,13,103,575,580.6666666666666
Day 1_103_89,Day 1,Hooks,89,15,103,575,581.3333333333334
Day 1_103_90,Day 1,Hooks,90,12,103,575,582
Day 1_103_90,Day 1,Hooks,90,12,103,575,582
Day 1_103_25,Day 1,Hooks,25,17,103,600,624.8333333333334
Day 1_103_26,Day 1,Hooks,26,22,103,600,623.6666666666666
Day 1_103_27,Day 1,Hooks,27,18,103,600,622.5
Day 1_103_28,Day 1,Hooks,28,27,103,600,621.3333333333334
Day 1_103_29,Day 1,Hooks,29,21,103,600,620.1666666666666
Day 1_103_30,Day 1,Hooks,30,15,103,600,619
Day 1_103_30,Day 1,Hooks,30,15,103,600,617
Day 1_103_31,Day 1,Hooks,31,21,103,600,615
Day 1_103_32,Day 1,Hooks,32,15,103,600,613
Day 1_103_33,Day 1,Hooks,33,4,103,600,611
Day 1_103_34,Day 1,Hooks,34,12,103,600,609
Day 1_103_35,Day 1,Hooks,35,26,103,600,607
Day 1_103_35,Day 1,Hooks,35,26,103,600,606.3333333333334
