station,gear,skate_or_pot_unique_id,skate_or_pot_number,n_sablefish
Day 1,Hooks,Day 1_103_1,1,0
Day 1,Hooks,Day 1_103_10,10,20
Day 1,Hooks,Day 1_103_11,11,26
Day 1,Hooks,Day 1_103_12,12,15
Day 1,Hooks,Day 1_103_13,13,16
Day 1,Hooks,Day 1_103_14,14,9
Day 1,Hooks,Day 1_103_15,15,15
Day 1,Hooks,Day 1_103_16,16,25
Day 1,Hooks,Day 1_103_17,17,10
Day 1,Hooks,Day 1_103_18,18,21
Day 1,Hooks,Day 1_103_19,19,20
Day 1,Hooks,Day 1_103_2,2,8
Day 1,Hooks,Day 1_103_20,20,11
Day 1,Hooks,Day 1_103_21,21,19
Day 1,Hooks,Day 1_103_22,22,16
Day 1,Hooks,Day 1_103_23,23,23
Day 1,Hooks,Day 1_103_24,24,30
Day 1,Hooks,Day 1_103_25,25,17
Day 1,Hooks,Day 1_103_26,26,22
Day 1,Hooks,Day 1_103_27,27,18
Day 1,Hooks,Day 1_103_28,28,27
Day 1,Hooks,Day 1_103_29,29,21
Day 1,Hooks,Day 1_103_3,3,14
Day 1,Hooks,Day 1_103_30,30,15
Day 1,Hooks,Day 1_103_31,31,21
Day 1,Hooks,Day 1_103_32,32,15
Day 1,Hooks,Day 1_103_33,33,4
Day 1,Hooks,Day 1_103_34,34,12
Day 1,Hooks,Day 1_103_35,35,26
Day 1,Hooks,Day 1_103_36,36,19
Day 1,Hooks,Day 1_103_37,37,14
Day 1,Hooks,Day 1_103_38,38,15
Day 1,Hooks,Day 1_103_39,39,18
Day 1,Hooks,Day 1_103_4,4,9
Day 1,Hooks,Day 1_103_40,40,23
Day 1,Hooks,Day 1_103_41,41,20
Day 1,Hooks,Day 1_103_42,42,24
Day 1,Hooks,Day 1_103_43,43,12
Day 1,Hooks,Day 1_103_44,44,19
Day 1,Hooks,Day 1_103_45,45,15
Day 1,Hooks,Day 1_103_46,46,16
Day 1,Hooks,Day 1_103_47,47,13
Day 1,Hooks,Day 1_103_48,48,17
Day 1,Hooks,Day 1_103_49,49,24
Day 1,Hooks,Day 1_103_5,5,8
Day 1,Hooks,Day 1_103_50,50,13
Day 1,Hooks,Day 1_103_51,51,17
Day 1,Hooks,Day 1_103_52,52,13
Day 1,Hooks,Day 1_103_53,53,12
Day 1,Hooks,Day 1_103_54,54,17
Day 1,Hooks,Day 1_103_55,55,15
Day 1,Hooks,Day 1_103_56,56,17
Day 1,Hooks,Day 1_103_57,57,19
Day 1,Hooks,Day 1_103_58,58,20
Day 1,Hooks,Day 1_103_59,59,18
Day 1,Hooks,Day 1_103_6,6,20
Day 1,Hooks,Day 1_103_60,60,22
Day 1,Hooks,Day 1_103_61,61,18
