station,haul,pot,reason,skate_id
Day 1,104,117,Bait bag lost or damaged,Day 1_104_117
Day 1,104,185,Trap door open,Day 1_104_185
Day 1,104,198,Bait bag lost or damaged,Day 1_104_198
Day 2,106,111,Bait bag lost or damaged,Day 2_106_111
Day 2,106,132,Bait bag lost or damaged,Day 2_106_132
Day 2,106,135,Trap door open,Day 2_106_135
Day 2,106,186,Bait bag lost or damaged,Day 2_106_186
Day 2,106,192,Trap door open,Day 2_106_192
Day 2,106,193,Bait bag lost or damaged,Day 2_106_193
Day 2,106,200,Bait bag lost or damaged,Day 2_106_200
Day 3,108,97,Bait bag lost or damaged,Day 3_108_97
Day 3,108,100,Bait bag lost or damaged,Day 3_108_100
Day 3,108,103,Bait bag lost or damaged,Day 3_108_103
Day 3,108,118,Trap door open,Day 3_108_118
Day 3,108,123,Bait bag lost or damaged,Day 3_108_123
Day 3,108,124,Bait bag lost or damaged,Day 3_108_124
Day 3,108,139,Bait bag lost or damaged,Day 3_108_139
Day 3,108,142,Bait bag lost or damaged,Day 3_108_142
Day 3,108,168,Lost pot,Day 3_108_168
Day 3,108,169,Bait bag lost or damaged,Day 3_108_169
Day 3,108,172,Bait bag lost or damaged,Day 3_108_172
Day 3,108,176,Bait bag lost or damaged,Day 3_108_176
Day 3,108,179,Bait bag lost or damaged,Day 3_108_179
Day 3,108,183,Bait bag lost or damaged,Day 3_108_183
Day 3,108,198,Bait bag lost or damaged,Day 3_108_198
Day 3,108,203,Bait bag lost or damaged,Day 3_108_203
Day 3,108,208,Bait bag lost or damaged,Day 3_108_208
Day 3,108,210,Bait bag lost or damaged,Day 3_108_210
