year,date,gear,station,haul,skate_or_pot,depth,species,catch,depredation,pot_size,escape_ring,escape_ring_notes
2022,2022-07-28,Hooks,201,97,1,575,Ineffective Hook,19,0,NA,NA,NA
2022,2022-07-28,Hooks,201,97,1,575,Sablefish,8,0,NA,NA,NA
2022,2022-07-28,Hooks,201,97,2,575.5,Baited Hook,13,0,NA,NA,NA
2022,2022-07-28,Hooks,201,97,2,575.5,Ineffective Hook,3,0,NA,NA,NA
2022,2022-07-28,Hooks,201,97,2,575.5,Sablefish,13,0,NA,NA,NA
2022,2022-07-28,Hooks,201,97,2,575.5,Shortspine Thornyhead,3,0,NA,NA,NA
2022,2022-07-28,Hooks,201,97,3,576,Baited Hook,15,0,NA,NA,NA
2022,2022-07-28,Hooks,201,97,3,576,Giant Grenadier,1,0,NA,NA,NA
2022,2022-07-28,Hooks,201,97,3,576,Ineffective Hook,2,0,NA,NA,NA
2022,2022-07-28,Hooks,201,97,3,576,Sablefish,11,0,NA,NA,NA
2022,2022-07-28,Hooks,201,97,3,576,Shortspine Thornyhead,3,0,NA,NA,NA
2022,2022-07-28,Hooks,201,97,4,576.5,Baited Hook,12,0,NA,NA,NA
2022,2022-07-28,Hooks,201,97,4,576.5,Ineffective Hook,2,0,NA,NA,NA
2022,2022-07-28,Hooks,201,97,4,576.5,Sablefish,20,0,NA,NA,NA
2022,2022-07-28,Hooks,201,97,4,576.5,Shortspine Thornyhead,1,0,NA,NA,NA
2022,2022-07-28,Hooks,201,97,5,577,Baited Hook,9,0,NA,NA,NA
2022,2022-07-28,Hooks,201,97,5,577,Giant Grenadier,1,0,NA,NA,NA
2022,2022-07-28,Hooks,201,97,5,577,Ineffective Hook,12,0,NA,NA,NA
2022,2022-07-28,Hooks,201,97,5,577,Sablefish,7,0,NA,NA,NA
2022,2022-07-28,Hooks,201,97,5,577,Shortspine Thornyhead,3,0,NA,NA,NA
2022,2022-07-28,Hooks,201,97,6,577,Baited Hook,13,0,NA,NA,NA
2022,2022-07-28,Hooks,201,97,6,577,Giant Grenadier,1,0,NA,NA,NA
2022,2022-07-28,Hooks,201,97,6,577,Sablefish,16,0,NA,NA,NA
2022,2022-07-28,Hooks,201,97,6,577,Shortspine Thornyhead,2,0,NA,NA,NA
2022,2022-07-28,Hooks,201,97,7,577,Baited Hook,17,0,NA,NA,NA
2022,2022-07-28,Hooks,201,97,7,577,Giant Grenadier,1,0,NA,NA,NA
2022,2022-07-28,Hooks,201,97,7,577,Sablefish,13,0,NA,NA,NA
2022,2022-07-28,Hooks,201,97,7,577,Shortspine Thornyhead,1,0,NA,NA,NA
2022,2022-07-28,Hooks,201,97,8,577,Baited Hook,18,0,NA,NA,NA
2022,2022-07-28,Hooks,201,97,8,577,Sablefish,13,0,NA,NA,NA
2022,2022-07-28,Hooks,201,97,8,577,Shortspine Thornyhead,3,0,NA,NA,NA
2022,2022-07-28,Hooks,201,97,9,577,Baited Hook,18,0,NA,NA,NA
