year,date,gear,station,haul,stratum,species,sex,length,pot_size,escape_ring
2023,2023-07-27,Hooks,201,103,601-800 m,Sablefish,Male,61,NA,NA
2023,2023-07-27,Hooks,201,103,601-800 m,Sablefish,Female,67,NA,NA
2023,2023-07-27,Hooks,201,103,601-800 m,Sablefish,Male,66,NA,NA
2023,2023-07-27,Hooks,201,103,601-800 m,Sablefish,Female,72,NA,NA
2023,2023-07-27,Hooks,201,103,601-800 m,Sablefish,Male,58,NA,NA
2023,2023-07-27,Hooks,201,103,601-800 m,Sablefish,Male,58,NA,NA
2023,2023-07-27,Hooks,201,103,601-800 m,Sablefish,Female,78,NA,NA
2023,2023-07-27,Hooks,201,103,601-800 m,Sablefish,Female,68,NA,NA
2023,2023-07-27,Hooks,201,103,601-800 m,Sablefish,Male,60,NA,NA
2023,2023-07-27,Hooks,201,103,601-800 m,Sablefish,Male,50,NA,NA
2023,2023-07-27,Hooks,201,103,601-800 m,Sablefish,Female,75,NA,NA
2023,2023-07-27,Hooks,201,103,601-800 m,Sablefish,Male,68,NA,NA
2023,2023-07-27,Hooks,201,103,601-800 m,Sablefish,Male,60,NA,NA
2023,2023-07-27,Hooks,201,103,601-800 m,Sablefish,Female,71,NA,NA
2023,2023-07-27,Hooks,201,103,601-800 m,Sablefish,Male,59,NA,NA
2023,2023-07-27,Hooks,201,103,601-800 m,Sablefish,Female,63,NA,NA
2023,2023-07-27,Hooks,201,103,601-800 m,Sablefish,Male,59,NA,NA
2023,2023-07-27,Hooks,201,103,601-800 m,Sablefish,Male,58,NA,NA
2023,2023-07-27,Hooks,201,103,601-800 m,Sablefish,Male,58,NA,NA
2023,2023-07-27,Hooks,201,103,601-800 m,Sablefish,Male,62,NA,NA
2023,2023-07-27,Hooks,201,103,601-800 m,Sablefish,Male,57,NA,NA
2023,2023-07-27,Hooks,201,103,601-800 m,Sablefish,Female,66,NA,NA
2023,2023-07-27,Hooks,201,103,601-800 m,Sablefish,Male,59,NA,NA
2023,2023-07-27,Hooks,201,103,601-800 m,Giant Grenadier,Female,24,NA,NA
2023,2023-07-27,Hooks,201,103,601-800 m,Giant Grenadier,Male,20,NA,NA
2023,2023-07-27,Hooks,201,103,601-800 m,Sablefish,Female,62,NA,NA
2023,2023-07-27,Hooks,201,103,601-800 m,Sablefish,Female,77,NA,NA
2023,2023-07-27,Hooks,201,103,601-800 m,Sablefish,Female,61,NA,NA
2023,2023-07-27,Hooks,201,103,601-800 m,Sablefish,Male,69,NA,NA
2023,2023-07-27,Hooks,201,103,601-800 m,Sablefish,Male,60,NA,NA
2023,2023-07-27,Hooks,201,103,601-800 m,Sablefish,Female,66,NA,NA
2023,2023-07-27,Hooks,201,103,601-800 m,Sablefish,Female,60,NA,NA
2023,2023-07-27,Hooks,201,103,601-800 m,Sablefish,Female,70,NA,NA
2023,2023-07-27,Hooks,201,103,601-800 m,Giant Grenadier,Female,27,NA,NA
2023,2023-07-27,Hooks,201,103,601-800 m,Sablefish,Female,66,NA,NA
2023,2023-07-27,Hooks,201,103,601-800 m,Sablefish,Male,61,NA,NA
2023,2023-07-27,Hooks,201,103,601-800 m,Sablefish,Male,55,NA,NA
2023,2023-07-27,Hooks,201,103,601-800 m,Sablefish,Female,62,NA,NA
2023,2023-07-27,Hooks,201,103,601-800 m,Sablefish,Female,75,NA,NA
2023,2023-07-27,Hooks,201,103,601-800 m,Sablefish,Male,63,NA,NA
2023,2023-07-27,Hooks,201,103,601-800 m,Sablefish,Male,57,NA,NA
